,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,cat_to_num,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,g_mean.mean,g_mean.sd,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,kurtosis.mean,kurtosis.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,nr_attr,nr_bin,nr_cat,nr_cor_attr,nr_inst,nr_norm,nr_num,nr_outliers,num_to_cat,range.mean,range.sd,sd.mean,sd.sd,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,var.mean,var.sd,n_pcs,rv,lid_mean,lid_median,lid_std,lid_kurtosis,lid_skew,lid_entropy,lid_hist0,lid_hist1,lid_hist2,lid_hist3,lid_hist4,lid_hist5,lid_hist6,lid_hist7,lid_hist8,lid_hist9,rc_mean,rc_median,rc_std,rc_kurtosis,rc_skew,rc_entropy,rc_hist0,rc_hist1,rc_hist2,rc_hist3,rc_hist4,rc_hist5,rc_hist6,rc_hist7,rc_hist8,rc_hist9,elapsed_time(secs)
base80_1000000,0.00010379226144705557,6.2530910840175825e-06,6.629356620008923,0.0,3.2e-05,0.0,0.02002604964709048,0.013788760670300392,2.679212861083381,1.84776650366144,133.7584020440466,18.70684713302767,,,,,31250.0,15.7577061900333,0.241766923788163,-0.07740228240456584,0.02013904421838695,11.680946502788355,0.179029380038469,53.63905953016861,1.9846446277564807,0.07860093778702126,0.4246261139926308,0.07507129971985232,0.44307341545038353,-54.76355059655635,3.554603464652061,32.0,0.0,0.0,0.0,1000000.0,26.0,32.0,32.0,,108.40261012672497,4.007846908024765,11.564521909545263,0.1445260916519858,0.000678712258390764,0.012945400813921547,0.0,0.0,0.07714778128320304,0.43948121562853387,133.7584020440466,3.3479665245032586,29.0,0.12293587292847764,26.211510034733084,26.05117296306225,3.0142091025795317,0.19117528702028208,0.33983718707927746,9.20377022360886,0.0077,0.0589,0.1984,0.2896,0.2506,0.1313,0.0463,0.0139,0.0028,0.0005,0.9627006431776396,0.9629429855850302,0.004148584984580261,0.18732309491239185,-0.3281076073206888,9.210331082389432,0.0017,0.0059,0.0223,0.0808,0.1747,0.2705,0.267,0.1378,0.0358,0.0035,195.66202330589286
base44_500,0.023276524760192156,0.010938702487448633,2.8073203201603496,8.91668328702847e-16,0.256,0.0,0.15264062158737837,0.107764695657062,8.611832706438731,6.468698651006832,56.23424060546208,122.3099342416747,,,,,3.90625,10.68023287562734,1.5174718922145864,-0.356668484064966,0.2717476303266056,7.882757844481725,1.110582966411176,20.55475645976535,2.685072097381689,-0.03260629152322314,1.8207141572592482,-0.08310529999504125,2.117790324915752,-20.389704611855976,2.8538314412556502,128.0,0.0,0.0,0.0025836614173228344,500.0,48.0,128.0,75.0,,40.944461071621326,3.540243775236761,7.466960772292746,0.694627250091973,0.022724177180850607,0.20092521569604477,0.0,0.0,-0.0664584123899587,1.9906042945638822,56.23424060546206,10.554155639175436,76.0,0.05119567324187699,6.2173098357575824,5.916616258956855,1.0462021419671486,-0.07458007979325654,0.908072611669652,4.591565350581968,0.15,0.23,0.21,0.1,0.07,0.08,0.05,0.04,0.06,0.01,0.8610587922455127,0.8571434704536123,0.0192739812729829,-0.7325240169999647,0.4770631521638459,4.604920508087712,0.1,0.09,0.17,0.18,0.12,0.05,0.09,0.08,0.05,0.07,1.1617927551269531
base44_8000,0.006161364224446024,0.002688210669504822,4.247926577821154,2.092453951211488e-07,0.016,0.0,0.14781735022841663,0.10446018383762562,8.32370644066373,6.23857811748885,56.09023200176956,118.11988314748872,,,,,62.5,10.698953781493845,1.4461573156930176,-0.3311647117725799,0.22947342774285404,7.889468370358991,1.0471219068236164,25.093802304058265,2.147530823919015,-0.02049621605599039,1.7908406861901411,-0.0678037346857627,2.0583126756846553,-24.640110423995594,2.234429058253183,128.0,0.0,0.0,0.000984251968503937,8000.0,8.0,128.0,120.0,,49.73391272805386,2.863247549089946,7.4590601660683,0.6754388507211474,0.02212246673626539,0.17124230246884486,0.0,0.0,-0.049775997336122896,1.955679953470459,56.09023200176955,10.139755352046228,92.0,0.05371720887359449,36.41046067053918,36.243193671234685,3.3518762844943164,-0.5540886532682401,0.30678244784869346,4.600958400463237,0.02,0.07,0.08,0.18,0.17,0.16,0.14,0.03,0.07,0.08,0.972947740098796,0.97304538258053,0.00241857682590412,-0.4770596759482717,-0.08007670844695677,4.605167096114618,0.01,0.02,0.06,0.11,0.15,0.17,0.17,0.14,0.07,0.1,1.877502918243408
base44_4000,0.007666455795088592,0.0032859382844111183,3.9068883404564976,1.3375024930542705e-15,0.032,0.0,0.14812084730537836,0.1049728220201571,8.354630476218716,6.269599860888247,56.19374285989875,118.60421710561714,,,,,31.25,10.705852775228557,1.4301723605408685,-0.330475662007761,0.23383993828745292,7.8982051340759,1.0420807785239656,24.097577775733825,2.2277731702442956,-0.0031467843608806306,1.8085630306065235,-0.06104823685867315,2.0615049881824947,-23.886203334755027,2.776503433486468,128.0,0.0,0.0,0.000984251968503937,4000.0,9.0,128.0,121.0,,47.98378111048885,3.231819306297894,7.466302992949604,0.6720048574031626,0.024992179014502677,0.1719145394061735,0.0,0.0,-0.037850063932222885,1.9713573491845746,56.19374285989875,10.089080104285992,90.0,0.053387242996908016,30.284148455420066,29.959463994785906,3.1047099010667996,-0.3696108400958011,0.19685900700790526,4.599926615957014,0.07,0.06,0.15,0.15,0.18,0.14,0.11,0.06,0.06,0.02,0.9675446608955685,0.967507709984388,0.003264153638220109,-0.30297174661781634,-0.2814615879644111,4.605164493412434,0.05,0.04,0.04,0.15,0.13,0.19,0.15,0.13,0.09,0.03,1.5127370357513428
base44_64000,0.0022653630931307577,0.0012003532594215736,5.285402144667787,1.1695185267230002e-08,0.002,0.0,0.1473045343293468,0.10437026885649735,8.304185814945287,6.238097803197323,56.15026323958405,117.93565443363353,,,,,500.0,10.694141116559823,1.4228913999081283,-0.32959941776291035,0.2256343914164819,7.888615959705812,1.0358072719102396,27.446052055485072,2.236334778564394,-0.017664772195792128,1.7971541538357214,-0.06776065421863593,2.055598695160475,-27.648520531875988,2.282642581623279,128.0,0.0,0.0,0.000984251968503937,64000.0,7.0,128.0,128.0,,55.094572587361064,2.8490966732226792,7.463495536869837,0.6708303361702184,0.023366571802140405,0.1714253109987813,0.0,0.0,-0.0491384169737942,1.9616808498431497,56.150263239584035,10.081692480437166,94.0,0.05385399094829897,48.0186586605724,47.667443260561704,4.732974715866228,0.3143460268955032,0.417868515041778,9.20552484628683,0.0022,0.0282,0.1315,0.2783,0.2757,0.1759,0.0746,0.0255,0.006,0.0021,0.9793649424313372,0.9794063839684772,0.0019782702330629113,0.09305114562965587,-0.17410694170501034,9.210338331629568,0.0003,0.0024,0.0129,0.0576,0.1529,0.2824,0.2796,0.1578,0.0478,0.0063,18.93838596343994
base44_99900,0.0018478970855138634,0.0010957952877495296,5.523561926564919,1.783336657405694e-15,0.0012812812812812813,0.0,0.14736945815765448,0.10440238245118524,8.308563892660562,6.241805316294305,56.15566864564069,118.00230156515748,,,,,780.46875,10.697047358767367,1.4266965361591926,-0.33029622025463246,0.22597499695387874,7.890494591667387,1.0383086136953723,28.048212566577334,2.258534362356186,-0.018525081165283536,1.7971190016576095,-0.06814585923106307,2.0557585660947084,-27.99600370324269,2.1733140956822607,128.0,0.0,0.0,0.000984251968503937,99900.0,7.0,128.0,128.0,,56.044216269820026,2.7504807555632764,7.463722943253153,0.6723392259631996,0.024011050545049283,0.17152559113414917,0.0,0.0,-0.05098078481563334,1.962066566252285,56.155668645640674,10.106120510502876,94.0,0.053686480991780375,50.461813861223966,50.108855123202076,4.955695826839111,0.3852242881271186,0.42612160769431895,9.20556075387557,0.0041,0.0639,0.2351,0.3345,0.2324,0.0987,0.0246,0.005,0.0015,0.0002,0.980349786929678,0.9803962448753298,0.001876828155966784,0.017641443953955168,-0.15995376056917499,9.210338539231213,0.0004,0.0038,0.025,0.0982,0.2249,0.3102,0.2344,0.0865,0.0152,0.0014,32.4442880153656
base44_1000,0.01423605646376472,0.005419744272234066,3.1699077697804467,4.196965903717495e-06,0.128,0.0,0.14940942659540699,0.10527970146970096,8.368323229348649,6.237190421888662,55.81255049717133,118.5023141900286,,,,,7.8125,10.655580028114999,1.432629696452943,-0.33865257708403484,0.24591687127950254,7.865960166595178,1.0435713733816372,21.812636255956704,2.2354382553113283,-0.025196261184641133,1.8186304739642936,-0.08585268690042047,2.0703728342772445,-21.819856919004675,2.449852200297054,128.0,0.0,0.0,0.0014763779527559055,1000.0,33.0,128.0,95.0,,43.632493174961375,3.09092604984929,7.441072369746991,0.6681920496123672,0.025414281943158194,0.1735324390270325,0.0,0.0,-0.06526360441659049,1.9799024957850653,55.812550497171316,10.009731219034819,83.0,0.053932265390469684,3.6884043038343375,3.5780801640442204,0.5058134848776876,0.12042553704685187,0.5782570252125987,4.595930180448796,0.06,0.04,0.21,0.22,0.18,0.09,0.07,0.07,0.02,0.04,0.7634249132497994,0.7604303058248173,0.02766786600372343,-0.006820272125807936,-0.09172647185610336,4.604512290168484,0.03,0.04,0.03,0.15,0.21,0.19,0.15,0.08,0.07,0.05,1.211360216140747
base44_2000,0.010509728367730379,0.003860369166660646,3.58495672608224,8.91668328702847e-16,0.064,0.0,0.14806335925105624,0.10466646920147414,8.329657291672147,6.241604040634104,56.030063763021694,118.19320598862308,,,,,15.625,10.671850719030408,1.405124772036763,-0.3325602844786108,0.2207816737204015,7.879114248693826,1.021102966941733,23.025028885783428,2.394533593428184,-0.016283769522841038,1.8237613096130112,-0.06568248354390109,2.1071252207838613,-22.924732783085354,2.678957572745414,128.0,0.0,0.0,0.0012303149606299212,2000.0,16.0,128.0,105.0,,45.94976166886878,3.3914442486433773,7.454811506033938,0.6778189552446127,0.02063161455353706,0.175199340725663,0.0,0.0,-0.04869962720204356,2.0029391608806315,56.03006376302169,10.130328885353912,88.0,0.05353400788014556,22.68505112315136,22.451742062780053,2.42571365052707,0.20139402746886406,0.6293544900494701,4.599549519326502,0.11,0.16,0.13,0.21,0.16,0.1,0.05,0.04,0.03,0.01,0.9569340788585714,0.9569562554817932,0.004314494200308446,-0.4650540503650546,0.13171287034040527,4.605160023887496,0.06,0.09,0.14,0.09,0.21,0.18,0.1,0.07,0.03,0.03,1.2732095718383791
base44_32000,0.002752540193584393,0.0015253010411587602,4.954196180789987,0.0,0.004,0.0,0.14729187810042632,0.10437447532913646,8.306142043303698,6.246121919147479,56.16023046732676,118.01561498378193,,,,,250.0,10.689023361432245,1.4315579831376166,-0.32985683141561767,0.2275367451394377,7.886188786603712,1.0412822710376277,26.532056986812172,2.1561210915224143,-0.01874743762615312,1.7954154672495526,-0.06889347391908959,2.056807610223371,-26.551332115739253,2.251636474402647,128.0,0.0,0.0,0.000984251968503937,32000.0,7.0,128.0,124.0,,53.08338910255143,2.8239972255629855,7.463638770847885,0.6766861471393623,0.024668451274711983,0.17215013309250757,0.0,0.0,-0.05145941599326319,1.9621691364366793,56.16023046732676,10.174838389355374,93.0,0.05378318986894553,42.759611088367,42.44909378010345,4.182594090032666,0.4132012024668033,0.4311773173024596,9.20559913303356,0.0029,0.0415,0.1813,0.3233,0.2613,0.1323,0.0447,0.0096,0.0024,0.0007,0.9768775262721616,0.976922888823846,0.002194657973015076,0.11626638316476612,-0.16796371753996905,9.210337848035033,0.0005,0.003,0.0172,0.0724,0.196,0.3054,0.2615,0.11800000000000001,0.0234,0.0026,7.979233741760254
base44_16000,0.0042170474314525775,0.001864948300183792,4.643856189774724,0.0,0.008,0.0,0.1472032680284893,0.10429647599348867,8.307434655364434,6.239782911512073,56.20944410428832,117.97847392819872,,,,,125.0,10.69996967819485,1.429364719960032,-0.3291404141943932,0.22600335173532682,7.89204128483629,1.037943089318295,26.03784572131824,2.371215859018312,-0.015564191665675006,1.7974056705194834,-0.0654014154784879,2.059687270562218,-25.80059804813303,2.3937927436135205,128.0,0.0,0.0,0.0012303149606299212,16000.0,5.0,128.0,125.0,,51.83844376945127,3.1952465906776317,7.46726667585875,0.672986524387481,0.023010753012964368,0.17272508240251352,0.0,0.0,-0.0468682319453625,1.9638259634242334,56.2094441042883,10.106592269980805,93.0,0.05418153766429611,34.03491049061536,33.84696348254364,3.189831675166468,0.19813915167550045,0.3496193905908502,9.205976747908066,0.002,0.0285,0.1431,0.2772,0.2843,0.1699,0.0712,0.0183,0.0047,0.0008,0.971094614368864,0.9711784967511384,0.002635918063333125,0.060414062980913126,-0.1995005514030368,9.210336687372813,0.0005,0.0024,0.0144,0.0609,0.1697,0.287,0.2805,0.1452,0.0359,0.0035,3.6220295429229736
base83_999900,0.00010325770437223169,6.749622722682117e-06,6.629356620079609,2.675004986108541e-15,0.00012801280128012802,0.0,0.019898000815293547,0.014953224713704747,2.651399102425234,1.9980448973245823,133.14672106677082,37.68250621012493,,,,,7811.71875,15.714778428260743,0.21411756993041856,-0.07369191394325136,0.016065124756843935,11.649130967612965,0.15861844323713492,53.78840734110089,2.719011857666914,-0.09588377484938104,0.5548794950611633,-0.10300208531100087,0.5944455467888057,-53.862387615661554,2.6068114624256267,128.0,0.0,0.0,0.0,999900.0,106.0,128.0,128.0,,107.65079495676244,3.9056546437455073,11.538179348943725,0.13142802684614147,0.00282351062473548,0.01840265917299279,0.0,0.0,-0.10090312100553511,0.5839156659139674,133.14672106677085,3.034017956726624,111.0,0.06123070776355505,51.84800009505796,51.44635388508046,5.335328753044762,0.3764341810972693,0.4643080815728339,9.205100704713132,0.0015,0.0346,0.1579,0.2909,0.2734,0.1557,0.0609,0.0191,0.0045,0.0015,0.980850963866396,0.9808954398441154,0.0019104821465280946,0.007133781142027562,-0.1424517535190945,9.210338474873158,0.0002,0.0017,0.0135,0.0577,0.1693,0.2849,0.2776,0.1491,0.0407,0.0053,343.5301806926728
base70_999900,0.0007347398110866173,0.0005518271093258566,6.629356620079611,0.0,3.2003200320032004e-05,0.0,0.1422597671307169,0.10378523952596513,8.095791053529455,6.220549174215097,56.45637050746305,58.3497895185036,,,,,31246.875,10.728091574770712,1.2553014337241677,-0.3283847777863893,0.2232213337394106,7.9248729036897725,0.9237646023205107,30.957545860201822,1.6491268576880522,-0.04497522988636418,1.614516212610728,-0.08614290810356859,1.8803845391567926,-31.024050845657733,2.1893095870075334,32.0,0.0,0.0,0.0020161290322580645,999900.0,4.0,32.0,32.0,,61.98159670585956,2.288455887403143,7.493258717228596,0.5633487927907052,-0.0006004292720371927,0.16418895488382715,0.0,0.0,-0.05999174366043271,1.7902500373959975,56.45637050746301,8.46217049441985,24.0,0.10799657524612977,25.328891871605336,25.17965646197321,2.7272564144608635,0.2791908793744837,0.4142524650179378,9.204595301392533,0.0101,0.0803,0.2195,0.2888,0.2296,0.115,0.0407,0.0125,0.0028,0.0007,0.9615019036629568,0.961714766338577,0.0039672535641693575,-0.032786097143364216,-0.19597047902532905,9.210331857257056,0.0023,0.0098,0.0467,0.1191,0.2154,0.2719,0.2121,0.0966,0.0234,0.0027,186.0022501945496
base2_4000,0.0034607972715968486,0.0003994505606368426,3.906888340456499,0.0,0.002,0.0,0.014329944082036725,0.01041619279152056,0.35456418646642474,0.2589300710394713,24.699851328228526,1.3584980657230556,,,,,500.0,6.72528128017213,0.08484240677421005,0.011425232295867949,0.09734115535066343,4.985009043255663,0.059040404873606116,19.98749303549269,3.5494426966896473,2.0295624449588305,3.092573718258561,2.048098168798349,3.109142483695027,-15.915829107618485,4.484870761033248,8.0,0.0,0.0,0.0,4000.0,8.0,8.0,8.0,,35.90332214311117,2.980142427937891,4.969607739451286,0.057073829022770486,-0.008877893739039473,0.03667355722616111,0.0,0.0,2.038666997366217,3.1023789529036474,24.699851328228522,0.5679685681263346,8.0,0.2444956590802538,7.8808480401417675,7.659579287911142,0.9394353156644499,-0.18013598695898336,0.6435917659308331,4.5982033304044485,0.03,0.12,0.17,0.23,0.16,0.09,0.08,0.06,0.04,0.02,0.8852031163081725,0.8836733364058944,0.011806916354789036,-0.5497667478294153,0.1829748086320445,4.605081299615558,0.01,0.04,0.08,0.18,0.21,0.14,0.14,0.07,0.09,0.04,0.5241608619689941
base2_9900,0.0020472155117149562,0.00015600889588607587,4.392316627985591,0.0,0.0008080808080808081,0.0,0.010201864593240852,0.006610459895393696,0.2528620883030715,0.16387566357315905,24.79386283462027,0.9415093343380034,,,,,1237.5,6.697963132981007,0.07674518968545524,0.0279761529148006,0.06081244072758623,4.967435942680956,0.06191763195248741,21.023084103449396,3.160417070672975,2.0160593367694917,3.07455554730417,2.0211984185685643,3.080005986671695,-17.287859041448783,4.3185087809095695,8.0,0.0,0.0,0.0,9900.0,8.0,8.0,8.0,,38.310943144898175,2.5983072111314027,4.979194588906599,0.04118363646629328,-0.009092289723269791,0.02823515542570071,0.0,0.0,2.023009632237092,3.0788384423834203,24.793862834620267,0.40958149359009455,8.0,0.2420142437560298,8.014885018209224,7.892522135715801,0.9158883690309744,1.972948602193468,0.9435531792531064,4.598814708109835,0.02,0.13,0.3,0.25,0.14,0.1,0.03,0.02,0.0,0.01,0.8873365202146195,0.8866937617871757,0.01092193648294588,0.6624261844413604,0.1175504191674714,4.605094463795463,0.02,0.02,0.06,0.19,0.26,0.21,0.17,0.04,0.02,0.01,0.6548073291778564
base2_500,0.012218130364645354,0.003145681293760293,2.8073203201603487,0.0,0.016,0.0,0.03986826202854332,0.021317776492602625,0.9775191724622961,0.5213079092335338,24.669530873335788,3.433378753878419,,,,,62.5,6.6121013368448605,0.27203083273024153,0.11079559719705284,0.3228180601204489,4.913269024761359,0.20949304798694657,17.246293367031857,4.438314305831257,1.8569415416198891,3.057935648413015,1.8668352278483427,3.090887479346126,-14.673757380911237,5.998735992018207,8.0,0.0,0.0,0.0,500.0,7.0,8.0,8.0,,31.92005074794309,4.468789220618747,4.965007912649044,0.144330179670193,-0.0502848714782967,0.06449222171533452,0.0,0.0,1.8873850032287867,3.0754278221114415,24.669530873335795,1.4308356247281948,8.0,0.2397167726713605,6.275087256882808,6.104823162229958,0.9362772914737042,3.4508218015252203,1.5095770605623802,4.594660348213962,0.04,0.11,0.34,0.29,0.1,0.05,0.02,0.01,0.02,0.02,0.8581030089523882,0.8570791960306332,0.016561475478463174,1.147992305338617,0.3816830383334952,4.604984348802374,0.03,0.02,0.09,0.22,0.29,0.16,0.11,0.03,0.03,0.02,0.4689779281616211
base2_1000,0.007978323810441931,0.0014674022128070175,3.1699111206799655,6.726808295172138e-06,0.008,0.0,0.02691263275843282,0.023025136200199785,0.6795922629086695,0.5941777099222803,25.08737790832535,2.7663906963402183,,,,,125.0,6.744366375220239,0.29255128705994826,0.0005100200963376045,0.1538833996421513,4.966632358865931,0.22460791839966782,17.665289291753567,2.8177327366504503,1.9289006606675185,3.0898336277650413,1.9335138031865269,3.0618656272908544,-14.31966441455993,3.9427557285961856,8.0,0.0,0.0,0.0,1000.0,8.0,8.0,8.0,,31.984953706313497,2.147925021188308,5.007641460824456,0.11163669728054111,-0.02888158725589698,0.05487217172301022,0.0,0.0,1.9541537251571912,3.063609972830234,25.087377908325344,1.1111461385297623,8.0,0.23944773794258145,7.1369700126036655,7.082148537819263,1.0333481878401307,-0.15837380059668638,0.29129357664105865,4.594736145932836,0.03,0.1,0.14,0.14,0.25,0.15,0.09,0.06,0.03,0.01,0.8736824782730682,0.8741662658559841,0.01635014162577586,-0.2057080787992525,-0.3396799545305705,4.604994678144409,0.02,0.02,0.04,0.13,0.12,0.22,0.17,0.17,0.07,0.04,0.4821410179138184
base2_8000,0.0022829372756604702,0.00016409029795056074,4.247926507544319,1.5144602235853453e-07,0.001,0.0,0.011020619134828786,0.007352628866489671,0.27309875550662166,0.18250230159302752,24.80816723118202,1.0242661334034833,,,,,1000.0,6.717257889726582,0.08877396217821473,0.03046950936208015,0.06848521525798253,4.9873686001455635,0.06968278717855222,20.542420661063346,3.0156712659754636,2.0313585884486396,3.081858202709526,2.036900128979237,3.092010020161453,-17.287859041448783,4.3185087809095695,8.0,0.0,0.0,0.0,8000.0,7.0,8.0,8.0,,37.83027970251213,2.525501611946398,4.980606361027942,0.044433033657565395,-0.011692454946064764,0.03257026993035516,0.0,0.0,2.039279935564935,3.0908978482092397,24.808167231182004,0.4421733378693353,8.0,0.2437206073952739,7.889663285371388,7.885150941726549,0.8891281932772732,0.04103400926783474,0.41366905632019024,4.598879871554483,0.05,0.09,0.16,0.18,0.23,0.12,0.06,0.06,0.03,0.02,0.8855232124146251,0.8857154736041568,0.011430040218003512,-0.07609011950166833,-0.18556826175835908,4.605086808726878,0.04,0.03,0.06,0.14,0.17,0.17,0.21,0.06,0.1,0.02,0.6293642520904541
base2_2000,0.005570131963084567,0.0006176023623881998,3.584956726082241,0.0,0.004,0.0,0.01771038821749803,0.015654607822124095,0.44487285147087385,0.39757826251122064,25.090700906540413,1.8407250696206003,,,,,250.0,6.716956392649914,0.14757967152243964,0.009040746695117896,0.08510904921941606,4.986227563451504,0.11490203838853515,19.769379797061397,2.8840144778321375,2.0138777247403103,3.006192618335769,2.03606039893363,2.997617077843764,-15.433753886366057,4.43640902098739,8.0,0.0,0.0,0.0,2000.0,8.0,8.0,8.0,,35.20313368342745,2.7837763192949025,5.008546680200673,0.07680073505034812,-0.013753191180055824,0.03723017905181176,0.0,0.0,2.0309148508364054,3.0113443209314226,25.09070090654042,0.7652375924699473,8.0,0.2457347587494419,7.441195058119501,7.254531408926942,0.9542408615265144,0.7766307586990928,0.7726293950061334,4.59714349763649,0.03,0.1,0.27,0.19,0.18,0.11,0.07,0.02,0.02,0.01,0.8789926307550675,0.8778892716876536,0.013300714341716232,-0.030889069219135038,0.10433604043592423,4.605055748044995,0.03,0.02,0.08,0.2,0.22,0.17,0.13,0.1,0.03,0.02,0.5162875652313232
base52_100000,0.006415556870738332,0.0010414801524839454,5.52356194393684,8.91668328702847e-16,0.00128,0.0,0.07765173483169402,0.05820304732724935,2.6487903840600255,1.999257554313266,34.157732669960026,37.66711701351026,,,,,781.25,9.947333241748428,0.869938311515371,-1.107397281045908,0.1133572701534339,7.273799368438151,0.6268870836543651,13.259449755741395,0.40679280992160083,-0.09620150648401034,0.5546465542165145,-0.17815655200890085,0.9811329136932777,-13.2526567861351,0.38456968614029824,128.0,0.0,0.0,0.0,100000.0,0.0,128.0,0.0,,26.51210654187649,0.5727874075529484,5.838732609054128,0.2597329990462205,0.01958750775371878,0.13987662514055532,0.0,0.0,-0.1259165212093157,0.7509543867902331,34.15773266996,3.032346826875386,60.0,0.037435246669509065,37.229703795821905,37.00904990801465,3.5233079937719607,0.2755048659349759,0.3995549411895573,9.205897923683217,0.0042,0.0435,0.1739,0.2954,0.2658,0.1399,0.055,0.0176,0.0042,0.0005,0.97352510765884,0.9735995027994347,0.0024306741735477693,0.08244831941899201,-0.16402313614375535,9.210337254595373,0.001,0.0056,0.0262,0.0865,0.2087,0.2863,0.2407,0.1123,0.028999999999999998,0.0037,24.89803147315979
base74_999900,0.00017409981134840726,8.284724488065104e-05,6.629356620079609,2.675004986108541e-15,0.00012801280128012802,0.0,0.06289291742939129,0.04583233668765985,8.309760617152458,6.236750458855315,131.14849980306215,117.97784030414898,,,,,7811.71875,15.580324852430978,0.7134333972308736,-0.06675886427852062,0.05330694980202509,11.548133779527966,0.5282559855984956,53.707531642611876,3.152469109368678,-0.019559530749668097,1.7955955207990602,-0.03323190674693789,1.8717955411508636,-53.755826526922824,3.4381713608154714,128.0,0.0,0.0,0.0,999900.0,88.0,128.0,128.0,,107.4633581695347,4.59840519805263,11.443658710318912,0.4389538025209637,0.0063865145036957754,0.047413755952963876,0.0,0.0,-0.030033034486936713,1.8511960532575524,131.14849980306218,10.093988133850761,110.0,0.06107619085597015,60.32280230559618,59.94765049273246,6.053884756182266,0.27395938045739365,0.39575879587942414,9.20534500148232,0.006999999999999999,0.0678,0.2112,0.31,0.2369,0.1156,0.038,0.0109,0.0021,0.0005,0.9835112033534602,0.9835690841933626,0.0016169035425245314,0.0353375434812464,-0.1960578325692143,9.210339020442543,0.0017,0.0075,0.0332,0.1086,0.2161,0.2874,0.2201,0.1017,0.0215,0.0022,400.89685010910034
base23_2000,0.005885383403523319,0.0007573791898909708,3.584956726082241,0.0,0.016,0.0,0.04876635077313714,0.034241108904512534,2.8665464305396657,2.0325670726896945,58.782948190818104,20.287463891008294,,,,,62.5,10.988599869515756,0.6174635556433911,-0.39532942403765775,0.10745725318772013,8.134800746663359,0.45814338495182216,23.632960093507556,2.1069448039993293,0.10870860723105095,0.5063130510934493,0.05934532243564562,0.574288125942297,-22.62920242086701,1.5384452454634456,32.0,0.0,0.0,0.0,2000.0,4.0,32.0,28.0,,46.262162514374566,2.6813846421879375,7.662530202229194,0.26606638171179536,0.028822991220802112,0.06113919379405813,0.0,0.0,0.07387865135833568,0.5529498849350631,58.78294819081811,4.086364336200188,27.0,0.1120311442115157,12.193480426655938,12.260784598172714,1.821034046234133,-0.4937752452328508,0.18915393712106046,4.594023325647514,0.07,0.18,0.06,0.12,0.21,0.17,0.09,0.05,0.02,0.03,0.9233237667921412,0.9252452228901576,0.010405887719256721,-0.6272888725016461,-0.3824095355012752,4.60510658474705,0.03,0.07,0.14,0.03,0.09,0.21,0.19,0.13,0.07,0.04,1.0735719203948977
base23_9900,0.0023644693466442867,0.00024883628838576693,4.392316627985591,0.0,0.0032323232323232323,0.0,0.046062089265564786,0.032483518778931166,2.7102023018593924,1.915107717610303,58.88517055151365,19.07823233962026,,,,,309.375,11.061910517707378,0.48418120563944195,-0.39724856771888595,0.07372343398307614,8.198763424874466,0.35356665742907123,25.509036893480665,1.5589256667434472,0.08762949785553646,0.4320200382294008,0.043562635175834225,0.5062449865489231,-25.37775055778086,2.2411621347629294,32.0,0.0,0.0,0.0,9900.0,1.0,32.0,32.0,,50.886787451261526,2.7695755374586675,7.670531823049043,0.2228544512267347,0.010971212618392992,0.04448096523592621,0.0,0.0,0.06930214771651391,0.46569988802936424,58.88517055151365,3.4358230742431157,27.0,0.11112518748221706,10.59910577908647,10.051891213342957,3.270006870005061,0.7043049683357756,0.9761250257660428,4.560211049365759,0.15,0.15,0.2,0.16,0.13,0.09,0.03,0.04,0.02,0.03,0.9056108728914876,0.9080656357793996,0.02541043284269144,-0.4545330103223914,-0.3427578175717183,4.604775140197218,0.02,0.09,0.04,0.05,0.13,0.18,0.17,0.18,0.07,0.07,1.3667852878570557
base23_1000,0.008953968618568281,0.001745180282151016,3.169907465153217,3.8491180006718015e-06,0.032,0.0,0.052346119765989775,0.038567223485343825,3.1085462781344835,2.297538425495082,59.41564196042445,22.311084585254683,,,,,31.25,11.086029989580524,0.5635831412273482,-0.41848892985548103,0.09606917000790337,8.230232741967846,0.4052661445525064,22.1423193820061,2.0695228063689557,0.13517990297766258,0.50784003949708,0.08824158157177636,0.5890812939838583,-21.918107237237106,1.858647371720706,32.0,0.0,0.0,0.0,1000.0,10.0,32.0,21.0,,44.06042661924321,2.831234296122543,7.702804125289463,0.2917366339442415,0.003451975959520499,0.07149780232889585,0.0,0.0,0.123664931063428,0.5430775045366465,59.41564196042445,4.470937999384731,27.0,0.10930133210079196,13.316213105716713,13.137581329202314,1.7233851707672412,-0.1525504284265975,0.2911549481726602,4.596835638893089,0.03,0.03,0.18,0.22,0.17,0.14,0.15,0.05,0.02,0.01,0.9295445067037278,0.9292509095936364,0.00839312661571414,0.4416771305491909,-0.4349168993843045,4.605129366668203,0.02,0.0,0.02,0.06,0.22,0.19,0.17,0.17,0.13,0.02,1.0226082801818848
